sector,category,activity_id,Notes,sector-description,category-description
Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_[....],,The agriculture hunting forestry fishing sector contributes to greenhouse gas emissions through activities related to farming livestock rearing forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and burning of agricultural residues.,Greenhouse gas emissions from agriculture hunting forestry and fishing result from activities like livestock production deforestation and the use of synthetic fertilizers.
Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_[....]-origin_region_[....],,The agriculture hunting forestry fishing sector contributes to greenhouse gas emissions through activities related to farming livestock rearing forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and burning of agricultural residues.,Greenhouse gas emissions from agriculture hunting forestry and fishing result from activities like livestock production deforestation and the use of synthetic fertilizers.
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_[....],,The agriculture hunting forestry fishing sector contributes to greenhouse gas emissions through activities related to farming livestock rearing forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and burning of agricultural residues.,Greenhouse gas emissions from arable farming category refer to the release of gases into the atmosphere resulting from activities associated with crop cultivation. These emissions primarily arise from the use of synthetic fertilizers which release nitrous oxide (N2O) a potent greenhouse gas.
Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_[....]-origin_region_[....],,,
Agriculture/Hunting/Forestry/Fishing,Fishing/Aquaculture/Hunting,fishing_aquaculture-type_[....],,The agriculture hunting forestry fishing sector contributes to greenhouse gas emissions through activities related to farming livestock rearing forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and burning of agricultural residues.,Greenhouse gas emissions from the fishing aquaculture and hunting category result from activities such as fuel consumption in fishing vessels energy usage in aquaculture systems and transportation-related emissions in hunting
Agriculture/Hunting/Forestry/Fishing,Livestock Farming,livestock_farming-type_[....],,The agriculture hunting forestry fishing sector contributes to greenhouse gas emissions through activities related to farming livestock rearing forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and burning of agricultural residues.,Greenhouse gas emissions from the livestock farming category involve the release of gases into the atmosphere resulting from the rearing and management of livestock such as cattle sheep and poultry. These emissions primarily occur from enteric fermentation which is the natural digestive process in ruminant animals that produces methane (CH4) as a byproduct.
Agriculture/Hunting/Forestry/Fishing,Livestock Farming,livestock_farming-type_[....]-orgin_region_[....],,The agriculture hunting forestry fishing sector contributes to greenhouse gas emissions through activities related to farming livestock rearing forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and burning of agricultural residues.,Greenhouse gas emissions from the livestock farming category involve the release of gases into the atmosphere resulting from the rearing and management of livestock such as cattle sheep and poultry. These emissions primarily occur from enteric fermentation which is the natural digestive process in ruminant animals that produces methane (CH4) as a byproduct.
Agriculture/Hunting/Forestry/Fishing,Timber and Forestry Products,timber_forestry-type_[....]-carbon_storage_[....],This category includes both primary and secondary (recycled) materials,The agriculture hunting forestry fishing sector contributes to greenhouse gas emissions through activities related to farming livestock rearing forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and burning of agricultural residues.,Greenhouse gas emissions from the timber and forestry products category are associated with the release of gases into the atmosphere resulting from activities such as logging timber processing and the production of wood-based products. These emissions primarily occur from the burning of fossil fuels during logging and processing operations as well as the decomposition of forest biomass and land-use changes.
Buildings and Infrastructure,Construction,construction-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the construction category encompass the release of gases into the atmosphere resulting from various construction activities and processes. These emissions primarily arise from energy consumption during construction operations including the use of heavy machinery transportation of construction materials and on-site activities such as concrete production and building heating/cooling.
Buildings and Infrastructure,Facility,facility-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the facility category refer to the release of gases into the atmosphere resulting from the operations and activities of various facilities including commercial buildings industrial plants and public infrastructure.
Buildings and Infrastructure,Housing,housing-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the housing category involve the release of gases into the atmosphere resulting from residential buildings and their associated activities. These emissions primarily occur from energy consumption for heating cooling and powering homes as well as from the use of household appliances lighting and other electrical devices.
Buildings and Infrastructure,Infrastructure,infrastructure-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the infrastructure category involve the release of gases into the atmosphere resulting from the construction operation and maintenance of physical infrastructure systems. These emissions primarily occur from the energy consumption in transportation infrastructure (e.g. roads bridges airports) water and wastewater infrastructure energy generation and distribution systems and building infrastructure (e.g. commercial buildings residential complexes).
Buildings and Infrastructure,Maintenance and Repair,maintenance_repair-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the maintenance and repair category involve the release of gases into the atmosphere resulting from activities related to the upkeep and restoration of various systems equipment and infrastructure.
Buildings and Infrastructure,Pavement and Surfacing,pavement_surfaces-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the pavement and surfacing category refer to the release of gases into the atmosphere resulting from the construction maintenance and use of paved surfaces such as roads parking lots and sidewalks. These emissions primarily occur during the manufacturing and transportation of construction materials including asphalt concrete and aggregates.
Buildings and Infrastructure,Real Estate,real_estate-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the real estate category involve the release of gases into the atmosphere resulting from the operations and activities related to the development construction maintenance and use of buildings and properties. These emissions primarily occur from energy consumption in buildings for heating cooling lighting and other utilities.
Buildings and Infrastructure,Utilities,utilities-type_[....],,The buildings and infrastructure sector contributes to greenhouse gas emissions through the construction operation and maintenance of residential commercial and public buildings as well as infrastructure such as roads and bridges. These emissions primarily come from energy consumption for heating cooling lighting and powering buildings as well as the production of construction materials and transportation of goods.,Greenhouse gas emissions from the utilities category are associated with the release of gases into the atmosphere resulting from the generation and distribution of electricity heat and water. These emissions primarily occur from the burning of fossil fuels such as coal or natural gas in power plants and the release of gases during fuel extraction and transportation.
